stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
835206,,N. Lincoln St. & Highland Ave.,,40.176054,-80.242631,,0,,,
1088816,,Ridge Ave. & Murtland Ave.,,40.1800496016728,-80.2406537532806,,0,,,
1088817,,Murtland Ave. & North Ave.,,40.1803242023982,-80.2356889843941,,0,,,
835178,,E. Maiden St. & Dunn Ave. (to Transit Center),,40.162484,-80.224811,,0,,,
835180,,E. Maiden St. & Wade Ave. (to Transit Center),,40.1675156276881,-80.2379298601189,,0,,,
835196,,Maiden St. & S Main St.,,40.167902,-80.244498,,0,,,
835173,,Washington Courthouse,,40.170702,-80.245353,,0,,,
835171,,Citizens Library,,40.1701221734713,-80.2426979067459,,0,,,
835179,,E. Maiden St. & Wade Ave. (to Park),,40.1674911489279,-80.2382415276127,,0,,,
835177,,E. Maiden St. & Dunn Ave. (to Park),,40.1623755228721,-80.2250048687171,,0,,,
835228,,Washington Park,,40.167298226902,-80.2206168822785,,0,,,
1088831,,Locust Ave. & Murtland Ave. ,,40.1806397869339,-80.2424313873053,,0,,,
1088832,,Wilson Ave. & Larch St. ,,40.1822507309003,-80.2449593693018,,0,,,
835227,,Washington Hospital (Wilson Ave.),,40.183199,-80.247295,,0,,,
835217,,Thomas Campbell Apartments,,40.18272,-80.250274,,0,,,
1088833,,3rd St. & Donnan Ave.,,40.1782257328298,-80.2538676559925,,0,,,
835207,,Northgate - Westgate Apartments (Donnan Ave.),,40.186537,-80.256991,,0,,,
835197,,Maple Terrace Apartments (Maple Ave.),,40.189927,-80.261022,,0,,,
1088834,,Maple Ave. & Summerlea Ave. ,,40.1865608233158,-80.2631098777056,,0,,,
835181,,E. Wylie Ave. & Allison Ave. (to Transit Center),,40.1828505082162,-80.2632049619713,,0,,,
835224,,Washington High School (Hall Ave.),,40.1733033603669,-80.2528055337295,,0,,,
835229,,W. Chestnut St. & McCarrel Ave. (to Crown Center Mall),,40.169665,-80.26088,,0,,,
835157,,Baird Ave. & Chesnut St.,,40.1690124471143,-80.262750125166,,0,,,
835169,,Century Plaza,,40.161663526727,-80.2812657607479,,0,,,
835219,,Trich Dr. Loop,,40.1559235999061,-80.2828122306538,,0,,,
835174,,Crown Center Mall,,40.1600438898463,-80.2763859889201,,0,,,
835230,,W. Chestnut St. & McCarrel Ave. (to Transit Center),,40.169491,-80.26101,,0,,,
835175,,Crumrine Tower,,40.169096,-80.247732,,0,,,
1088830,,W. Wheeling St. & S. Main St.,,40.1692983147698,-80.2450954914093,,0,,,
835233,,W&J Rossin Center,,40.1708979676955,-80.2411416000347,,0,,,
835195,,Locust St. & Leonard Ave.,,40.1820819753991,-80.242400588955,,0,,,
835209,,Oaksprings Plaza (Penn Commercial),,40.182789,-80.238656,,0,,,
835158,,Beau St. Park & Ride,,40.179621,-80.222295,,0,,,
835205,,Northgate Plaza (Gabes),,40.1870930190016,-80.2156602417336,,0,,,
835208,,Old Mill (Hobby Lobby),,40.191078976433,-80.2202529411392,,0,,,
835214,,Strabane Square (Target),,40.1882632802466,-80.2268929864388,,0,,,
835223,,Washington Mall (Home Depot),,40.1834726972844,-80.2317985803566,,0,,,
835191,,Jessop Place Park & Ride,,40.175223,-80.26781,,0,,,
1088815,,Baird Ave. & Broad St.,,40.1717285702111,-80.2643966674805,,0,,,
835220,,Trinity Point Dr.,,40.1836854642167,-80.2238013730164,,0,,,
1088818,,Rt. 980 & Morganza Rd. ,,40.2620893227816,-80.1769284904003,,0,,,
835213,,Southpointe Park & Ride,,40.2961630457521,-80.1601425423279,,0,,,
835192,,Gateway Center - Liberty Ave. & Stanwix St.,,40.4413175864953,-80.0043820233135,,0,,,
835160,,Blvd of the Allies @ Wood St. / Pt. Park Univ,,40.4383802279208,-80.0021458220901,,0,,,
835153,,5th Ave. & Smithfield St.,,40.4400113584556,-79.9986255423279,,0,,,
835176,,East Busway - near Amtrak/Greyhound,,40.4446773394496,-79.9910311079693,,0,,,
835193,,Liberty @ 10th St.,,40.4437521951133,-79.9950914227019,,0,,,
835154,,Smithfield St. @ 6th Ave.,,40.4415501240315,-79.9977606472387,,0,,,
835161,,Blvd of the Allies @ Wood St. / Pt. Park Univ,,40.438418248634,-80.001731411045,,0,,,
835194,,Liberty Ave. - 3 Gateway Center,,40.441427,-80.0058494227018,,0,,,
1088819,,Rt. 980 & Morganza Rd. ,,40.2621097906115,-80.177059918642,,0,,,
